name,encoding,label
IMG-20241225-WA0020,"-0.07801219075918198,0.10300063341856003,0.05128754302859306,-0.07728543132543564,-0.19862186908721924,0.04907345771789551,-0.09993686527013779,-0.10757946223020554,0.14446158707141876,-0.14898566901683807,0.13849003612995148,0.07683657109737396,-0.18487729132175446,0.05068933963775635,0.06395968049764633,0.14638827741146088,-0.0915360227227211,-0.14176729321479797,-0.17444643378257751,-0.14170309901237488,-0.1265670508146286,0.043517690151929855,8.776260074228048e-05,0.021201977506279945,-0.13658252358436584,-0.26475122570991516,-0.08443000912666321,-0.06861314922571182,0.041749726980924606,-0.058666106313467026,0.006812944542616606,-0.03435562551021576,-0.18868204951286316,-0.05615192651748657,0.10852156579494476,0.06493497639894485,-0.05817149206995964,-0.018519647419452667,0.21966058015823364,-0.020876159891486168,-0.1392027735710144,0.05035560205578804,0.07313892245292664,0.2536374628543854,0.12599655985832214,0.05762297660112381,0.0837169736623764,-0.0513891726732254,0.14551350474357605,-0.21021319925785065,0.08245319128036499,0.11691472679376602,0.06560789048671722,0.05556584149599075,0.05763127654790878,-0.14662443101406097,0.042664073407649994,0.21715599298477173,-0.19663943350315094,0.12878693640232086,0.13619863986968994,-0.10150894522666931,-0.142902672290802,-0.02830491214990616,0.2867266535758972,0.14759737253189087,-0.14126132428646088,-0.1985960155725479,0.13143064081668854,-0.0795077309012413,-0.05014319345355034,0.012867656536400318,-0.15080668032169342,-0.14062874019145966,-0.2519124150276184,0.06811767816543579,0.4576890170574188,0.15480723977088928,-0.18030931055545807,0.011482875794172287,-0.052775394171476364,0.017368333414196968,0.03071182407438755,0.036121368408203125,-0.07270802557468414,-0.07993368059396744,0.0008190926164388657,0.11942856758832932,0.22497530281543732,-9.785033762454987e-05,-0.01533493772149086,0.12699268758296967,0.0321730300784111,-0.015627512708306313,-0.04669129103422165,0.07621246576309204,-0.14168895781040192,-0.07418424636125565,-0.1312895566225052,-0.01995057612657547,0.0608832910656929,-0.0018066111952066422,0.07348700612783432,0.11096592247486115,-0.20428366959095,0.24413876235485077,-0.039205845445394516,-0.0460178405046463,-0.03557521104812622,0.08365225791931152,-0.09746897220611572,-0.010801350697875023,0.17831501364707947,-0.2451774924993515,0.2759420871734619,0.19881822168827057,-0.008248585276305676,0.11817280203104019,0.0683433935046196,0.03616258502006531,0.04372948408126831,0.06296876072883606,-0.15411514043807983,-0.18149670958518982,0.02796987257897854,-0.052645400166511536,0.13357549905776978,0.06262177228927612",Non-Criminal
IMG-20241225-WA0021,"-0.1635085642337799,0.055370621383190155,-0.055535271763801575,0.025998245924711227,-0.08694764226675034,0.06192893534898758,0.05195149779319763,-0.0818869099020958,0.047809869050979614,-0.059480033814907074,0.25855109095573425,-0.016725905239582062,-0.32068297266960144,-0.13481944799423218,0.06455488502979279,0.10084310173988342,-0.06511387974023819,-0.12634029984474182,-0.1270722597837448,-0.019232193008065224,0.010486803017556667,0.04745980352163315,0.012247798964381218,0.10774338245391846,-0.16574084758758545,-0.20554400980472565,-0.007197626866400242,-0.13785554468631744,0.02124941535294056,-0.17259129881858826,-0.039143286645412445,0.08517616242170334,-0.07522204518318176,-0.01271543838083744,0.018272317945957184,0.09982065111398697,-0.0947699323296547,-0.049145881086587906,0.29355672001838684,0.02239144593477249,-0.21706713736057281,-0.022213110700249672,0.050780631601810455,0.3338371813297272,0.18434976041316986,-0.05307778716087341,-0.005148768424987793,-0.019850339740514755,0.1774309128522873,-0.3551965057849884,0.10310732573270798,0.12262289971113205,0.20799502730369568,0.09622880071401596,0.024465076625347137,-0.1918690800666809,-0.017542434856295586,0.19394512474536896,-0.216299906373024,0.12565934658050537,0.03237238526344299,-0.1362282633781433,0.003645936958491802,-0.06473710387945175,0.18193060159683228,0.1362367868423462,-0.142896369099617,-0.09586542844772339,0.1168234571814537,-0.1841602623462677,-0.09786178916692734,0.17960882186889648,-0.11260028928518295,-0.23580504953861237,-0.25998568534851074,0.08978211879730225,0.2953321933746338,0.20303255319595337,-0.1597137153148651,-0.045975152403116226,-0.03328472748398781,-0.03307323530316353,0.0371524803340435,0.09108292311429977,-0.05704217404127121,-0.10514436662197113,-0.08185308426618576,-0.02371145412325859,0.2249915897846222,-0.005142331123352051,-0.025229407474398613,0.2698836922645569,0.07572443783283234,-0.005129422526806593,0.05791972577571869,0.03841150552034378,-0.03266755864024162,-0.07085173577070236,-0.04842659831047058,0.015938986092805862,-0.04834486544132233,-0.2085127979516983,0.0742681547999382,0.0674857348203659,-0.1828848272562027,0.2038739174604416,-0.017636481672525406,0.051839541643857956,0.04031559079885483,-0.031567350029945374,-0.06149455904960632,0.023333797231316566,0.13727205991744995,-0.2937605381011963,0.20093344151973724,0.126097172498703,0.08651170879602432,0.12094831466674805,0.06887688487768173,0.08597774058580399,-0.01326611079275608,-0.018621359020471573,-0.15730170905590057,-0.061092063784599304,0.1302710771560669,-0.03576763719320297,0.04317063093185425,0.03265080228447914",Non-Criminal
IMG-20241225-WA0022,"-0.11606014519929886,0.06644655764102936,0.07309380918741226,-0.05418703705072403,-0.14548368752002716,0.1032930463552475,-0.04770403727889061,-0.002381223253905773,0.17601551115512848,-0.1682787984609604,0.1912628412246704,0.057275496423244476,-0.18873968720436096,0.0076346429996192455,-0.05494679883122444,0.04606959596276283,-0.14507782459259033,-0.13521842658519745,-0.07881420850753784,-0.14488768577575684,0.03582781180739403,0.1097099706530571,0.020454419776797295,0.07224411517381668,-0.19388259947299957,-0.2143862098455429,-0.08506782352924347,-0.11933016031980515,0.09296844154596329,-0.1692788004875183,-0.013973120599985123,-0.031641166657209396,-0.1765744686126709,-0.03364342823624611,0.002847053110599518,0.08100834488868713,-0.06704305112361908,-0.004970728885382414,0.2498311549425125,0.07629904896020889,-0.12236959487199783,0.09723097831010818,0.031014882028102875,0.3821686804294586,0.19735825061798096,0.10128547251224518,-0.06844191998243332,-0.05778749659657478,0.2571282982826233,-0.3170360326766968,0.12066821753978729,0.19786927103996277,0.16607613861560822,0.033739134669303894,0.12710654735565186,-0.16025865077972412,0.05880696326494217,0.1431707888841629,-0.15542635321617126,0.1667943000793457,0.019315632060170174,-0.08173653483390808,0.045451585203409195,-0.02856733277440071,0.19316625595092773,0.01170436479151249,-0.11599542200565338,-0.17394950985908508,0.06764078885316849,-0.14895989000797272,-0.04481344297528267,0.22708746790885925,-0.10418562591075897,-0.14689145982265472,-0.22952842712402344,0.09555616974830627,0.5055412650108337,0.15482667088508606,-0.1275629997253418,0.05420798063278198,-0.07018392533063889,-0.1013440415263176,0.026019221171736717,0.1097397580742836,-0.12529630959033966,-0.07952556014060974,-0.12765569984912872,0.06359191238880157,0.1859491616487503,-0.00465959869325161,-0.022937089204788208,0.23079945147037506,0.05006799101829529,0.05101320520043373,0.016841314733028412,0.05303820222616196,-0.25110650062561035,-0.006410989910364151,-0.06448814272880554,-0.04697643965482712,0.02378852292895317,-0.06242447346448898,-0.0008236542344093323,0.07642893493175507,-0.2166048139333725,0.23044316470623016,-0.10091269761323929,-0.05888059362769127,-0.05161632224917412,-0.04326830059289932,-0.13957248628139496,0.05849318206310272,0.17286834120750427,-0.34681418538093567,0.13336847722530365,0.13904473185539246,0.029146457090973854,0.14506356418132782,0.12507963180541992,0.01901453547179699,-0.0069210100919008255,0.053926676511764526,-0.1643388718366623,-0.10532695800065994,0.03818754851818085,-0.1240214928984642,0.09570322185754776,-0.002788892947137356",Non-Criminal
IMG-20241225-WA0023,"-0.1377679854631424,0.14413711428642273,0.10586048662662506,-0.11453841626644135,-0.1525842249393463,-0.021428275853395462,-0.03714659437537193,0.016381068155169487,0.16888584196567535,-0.06722534447908401,0.1275278627872467,0.03826388344168663,-0.27786219120025635,0.052369374781847,-0.06566956639289856,0.10635419934988022,-0.1347809135913849,-0.18013010919094086,-0.08081471174955368,-0.08394548296928406,0.09677867591381073,0.07860518246889114,-0.08441431820392609,0.06872260570526123,-0.06763103604316711,-0.21845030784606934,-0.10997357219457626,-0.04728483408689499,-0.08455683290958405,-0.15016955137252808,0.05922449752688408,0.06967317312955856,-0.17774195969104767,-0.09019496291875839,0.0014970069751143456,0.046541351824998856,0.013465726748108864,-0.007688402198255062,0.17597614228725433,0.10236665606498718,-0.16156592965126038,0.04566548019647598,0.10040640085935593,0.354130357503891,0.14943578839302063,0.07607626169919968,-0.027025818824768066,-0.05127757787704468,0.17092013359069824,-0.3263307511806488,0.13845640420913696,0.187759131193161,0.19318853318691254,0.08796395361423492,0.06815812736749649,-0.16428783535957336,0.06179610639810562,0.2065325230360031,-0.23391102254390717,0.16167674958705902,0.1019645631313324,-0.12949539721012115,-0.036343395709991455,-0.07060711085796356,0.1731913983821869,0.14651626348495483,-0.11262150853872299,-0.14621080458164215,0.09018329530954361,-0.14556220173835754,-0.14102375507354736,0.13283796608448029,-0.14668504893779755,-0.11985582113265991,-0.32544782757759094,0.09163316339254379,0.4098357558250427,0.12527211010456085,-0.1450612097978592,-0.04414565861225128,-0.045556798577308655,0.007041153963655233,0.03316919133067131,0.07225566357374191,-0.15657038986682892,-0.059759970754384995,-0.0641729086637497,0.05742127448320389,0.21343988180160522,0.06847833842039108,-0.07811450958251953,0.2253791093826294,0.08490064740180969,0.03396853059530258,-0.0031295493245124817,0.055944185703992844,-0.006897256709635258,-0.09628570824861526,-0.1591913253068924,0.028593912720680237,-0.09602060168981552,-0.08455409854650497,-0.10683642327785492,0.09338841587305069,-0.19389627873897552,0.050253499299287796,-0.013928060419857502,-0.05529073625802994,-0.17334884405136108,-0.010646237060427666,-0.1365763396024704,-0.003489947412163019,0.15211667120456696,-0.24549397826194763,0.1451164335012436,0.20274975895881653,0.0046901097521185875,0.06906522810459137,0.05505680665373802,0.02369304932653904,0.010940156877040863,-0.11768770217895508,-0.10813529789447784,-0.06843461841344833,0.16350187361240387,-0.012930039316415787,0.0548856258392334,0.017625046893954277",Non-Criminal
IMG-20241225-WA0024,"-0.1518888920545578,-0.03302508220076561,0.04650003835558891,-0.0364496111869812,-0.16770662367343903,-0.08560912311077118,-0.034050822257995605,-0.04685021936893463,0.17661228775978088,-0.1111365482211113,0.1977386772632599,-0.007975016720592976,-0.17153581976890564,0.13596361875534058,-0.1373671442270279,0.1144779846072197,-0.23610076308250427,-0.1901373267173767,-0.045315127819776535,-0.08643124997615814,0.1582922339439392,-0.02666333131492138,0.01386498473584652,0.1919974982738495,-0.23532997071743011,-0.2588021159172058,-0.12521931529045105,-0.10083648562431335,0.14408212900161743,-0.013565419241786003,0.016206955537199974,0.021955175325274467,-0.18766507506370544,0.022026661783456802,0.04765576124191284,0.09551689028739929,-0.009248051792383194,-0.17771148681640625,0.2013908475637436,-0.02636691927909851,-0.27938854694366455,0.00026951543986797333,0.04438915476202965,0.23610146343708038,0.2078222930431366,0.022439194843173027,0.06315646320581436,-0.06809059530496597,0.07690713554620743,-0.3081352412700653,0.13791994750499725,0.256717324256897,0.12789864838123322,0.10105212032794952,0.09866771101951599,-0.18382477760314941,0.04005696251988411,0.20509999990463257,-0.15614722669124603,0.07159329950809479,0.040245600044727325,0.005662241950631142,0.13372592628002167,-0.1112525537610054,0.1267750859260559,0.13911856710910797,-0.1502084583044052,-0.10849375277757645,0.26135075092315674,-0.23077160120010376,-0.0319727323949337,0.12549108266830444,-0.1463441699743271,-0.2570888102054596,-0.20902608335018158,0.020952947437763214,0.48258844017982483,0.2772185802459717,-0.09028655290603638,0.07566023617982864,-0.03757292777299881,0.006820019334554672,-0.017740100622177124,0.17076751589775085,-0.05851414054632187,-0.005980703979730606,-0.10891717672348022,0.08533597737550735,0.14151042699813843,0.019281581044197083,0.004151032771915197,0.26337265968322754,0.03167429566383362,-0.09520695358514786,0.06436320394277573,0.16365468502044678,-0.16627152264118195,0.003761898260563612,-0.03353472799062729,0.01595899648964405,-0.02257154881954193,0.029150942340493202,0.012819545343518257,0.1111694946885109,-0.08881177008152008,0.12642280757427216,-0.12859030067920685,-0.04148789867758751,-0.10337695479393005,0.037137795239686966,-0.00919710099697113,-0.04407138004899025,0.08080051839351654,-0.24259532988071442,0.13080376386642456,0.15581819415092468,-0.012705301865935326,0.18796934187412262,-0.011393754743039608,0.11063896864652634,0.037620075047016144,-0.10051267594099045,-0.14766545593738556,-0.06454285234212875,-0.03873194381594658,-0.10468776524066925,0.011262793093919754,0.04074260592460632",Non-Criminal
IMG-20241225-WA0025,"-0.12591539323329926,0.1036444753408432,0.022565260529518127,-0.04685509577393532,0.014389995485544205,-0.03439866378903389,-0.03710120543837547,-0.06317566335201263,0.13597384095191956,-0.0475679486989975,0.3115963339805603,-0.08866307139396667,-0.21453481912612915,-0.159368097782135,0.12824438512325287,0.12547436356544495,-0.27192017436027527,-0.07717473804950714,-0.11343346536159515,-0.14515110850334167,0.041901543736457825,0.034966371953487396,0.02475126087665558,0.1218404546380043,-0.07821078598499298,-0.3819134831428528,-0.12138812243938446,-0.14206743240356445,0.10530883073806763,-0.07643888890743256,-0.0616852268576622,-0.016435083001852036,-0.1831265538930893,-0.06542444974184036,0.004078848287463188,-0.0231194868683815,0.04043965041637421,-0.10882896929979324,0.19145934283733368,0.017565052956342697,-0.09001798182725906,0.0004551471211016178,0.030224107205867767,0.25967302918434143,0.12677551805973053,0.016307298094034195,0.03157632425427437,0.07384048402309418,0.04300732910633087,-0.14653708040714264,-0.01775047741830349,0.1876002550125122,0.20194850862026215,-0.023299261927604675,0.039733242243528366,-0.17943376302719116,-0.07380229979753494,0.09819545596837997,-0.14802102744579315,0.05017485469579697,0.03954995051026344,-0.11503444612026215,-0.06799768656492233,-0.0603676475584507,0.2511403560638428,0.12155645340681076,-0.11471229046583176,-0.17003239691257477,0.1760505586862564,-0.018583601340651512,-0.010101092979311943,0.0522400327026844,-0.1803237646818161,-0.1569480299949646,-0.20268210768699646,0.06269252300262451,0.4125571846961975,0.0435822494328022,-0.20849402248859406,0.0394715778529644,-0.23999732732772827,-0.0113209318369627,-0.016517281532287598,-0.0038205881137400866,-0.10453183948993683,0.01714203879237175,-0.14360873401165009,0.06709160655736923,0.1466304212808609,-0.00037974584847688675,-0.012440470047295094,0.18970540165901184,-0.014700399711728096,0.011818639002740383,0.03155592083930969,-0.08023830503225327,-0.035245515406131744,-0.028931578621268272,-0.06017617881298065,0.03092585876584053,0.011455263942480087,-0.1744653880596161,-0.02114398404955864,0.031360525637865067,-0.24091680347919464,0.08091476559638977,0.10779290646314621,-0.05168675258755684,-0.032375868409872055,0.11635750532150269,-0.14022772014141083,-0.019055701792240143,0.15846747159957886,-0.3454378545284271,0.15949082374572754,0.22300192713737488,0.10633066296577454,0.19986674189567566,0.0008735442534089088,0.10589856654405594,-0.04445022717118263,-0.046575549989938736,-0.15011854469776154,-0.10295195132493973,0.035547297447919846,0.029472514986991882,0.033411938697099686,0.05904465168714523",Non-Criminal
IMG-20241225-WA0026,"-0.041776884347200394,0.17280526459217072,0.03170514106750488,0.014289927668869495,-0.13273465633392334,0.09838122129440308,0.024701444432139397,-0.015109268948435783,0.17352944612503052,-0.05947349965572357,0.21904516220092773,0.03375011682510376,-0.25199079513549805,-0.08215324580669403,-0.06883643567562103,0.11719225347042084,-0.075375996530056,-0.09608511626720428,-0.18316783010959625,-0.1398070603609085,0.035240694880485535,0.0721702128648758,-0.044171854853630066,0.01472089160233736,-0.1928902566432953,-0.28631362318992615,-0.0036872541531920433,-0.05195740982890129,0.04152354225516319,-0.1597331315279007,-0.02365264669060707,0.09381278604269028,-0.10915287584066391,-0.041822515428066254,0.022260889410972595,0.031068475916981697,-0.09877556562423706,-0.02178724855184555,0.1897403448820114,-0.010874691419303417,-0.152608260512352,0.10236082971096039,0.020703084766864777,0.27153727412223816,0.2972652316093445,0.001064188894815743,-0.021044399589300156,-0.10462416708469391,0.19936369359493256,-0.29302531480789185,0.009992124512791634,0.2355656772851944,0.06729836016893387,0.10303383320569992,0.14442147314548492,-0.16783784329891205,-0.07887628674507141,0.14843915402889252,-0.08766747266054153,-0.015407145954668522,-0.10495222359895706,-0.026268407702445984,-0.017667226493358612,-0.11470232903957367,0.04719844087958336,0.0285214651376009,-0.10453826934099197,-0.11518413573503494,0.1308099776506424,-0.19694946706295013,-0.0012785759754478931,0.11957845091819763,-0.10024125128984451,-0.21147073805332184,-0.2466198056936264,0.1082758978009224,0.3557928800582886,0.21690058708190918,-0.20303745567798615,-0.004205235280096531,-0.014637412503361702,-0.01724577322602272,0.05614811182022095,-0.019892031326889992,-0.1428915113210678,-0.10738129168748856,-0.07706258445978165,0.02382705733180046,0.20412281155586243,-0.0067869797348976135,-0.02491510659456253,0.27192938327789307,0.025935377925634384,0.02252688631415367,0.047628749161958694,0.04921291768550873,-0.14509600400924683,-0.008746936917304993,-0.1250971257686615,-0.02807486429810524,0.0966230258345604,-0.15653902292251587,0.014772363007068634,0.10090641677379608,-0.17076672613620758,0.18429559469223022,-0.04679739847779274,0.08164705336093903,-0.004511124454438686,-0.024182097986340523,-0.13673794269561768,0.06776093691587448,0.24780495464801788,-0.1990395039319992,0.22169290482997894,0.14220383763313293,-0.046934790909290314,0.11069076508283615,0.1688772737979889,0.026205457746982574,-0.04611388221383095,-0.04525377228856087,-0.09667974710464478,-0.08957760035991669,0.07433868199586868,-0.09787379950284958,0.014025090262293816,-0.04158872365951538",Non-Criminal
IMG-20241225-WA0027,"-0.0772102028131485,0.13597625494003296,0.0372689850628376,-0.109957754611969,-0.14600123465061188,0.005885208956897259,0.02961699292063713,-0.040485139936208725,0.18599270284175873,0.01916804164648056,0.2039225548505783,0.04177223518490791,-0.27435410022735596,-0.11391976475715637,0.0638546571135521,0.1210487112402916,-0.07647436112165451,-0.1174805611371994,-0.15876394510269165,0.011138569563627243,0.012445696629583836,0.020940206944942474,0.06854506582021713,0.023657754063606262,-0.11345905065536499,-0.2539607882499695,-0.03219475969672203,-0.12498331815004349,-0.0009382031857967377,-0.15181584656238556,0.07478708028793335,0.02115396037697792,-0.1460549682378769,-0.11472046375274658,-0.0316169448196888,0.03633419796824455,-0.07499026507139206,-0.13509653508663177,0.28665292263031006,-0.036469683051109314,-0.20070011913776398,0.0007722824811935425,-0.013079382479190826,0.24671503901481628,0.17357103526592255,-0.1609015166759491,0.12134599685668945,-0.06578594446182251,0.13994096219539642,-0.31603530049324036,0.10350888967514038,0.08507311344146729,0.13014763593673706,0.047577664256095886,0.09937331080436707,-0.12133131921291351,0.07035674154758453,0.20014183223247528,-0.3167072534561157,0.07826334238052368,0.11634646356105804,0.012379297986626625,-0.0815756693482399,-0.04435312747955322,0.20011252164840698,0.16487768292427063,-0.1301150768995285,-0.17574459314346313,0.08003853261470795,-0.11542848497629166,-0.042457692325115204,0.11765633523464203,-0.14151659607887268,-0.17081445455551147,-0.3430611193180084,0.06774558871984482,0.3260484039783478,0.11433344334363937,-0.2357771396636963,-0.023885756731033325,-0.1384185552597046,0.01833348348736763,0.00511510856449604,-0.016060469672083855,-0.09498347342014313,0.0005835471674799919,-0.0998467355966568,0.051896072924137115,0.16615374386310577,-0.018652265891432762,-0.07277797907590866,0.27688124775886536,0.12839534878730774,-0.0484342947602272,0.05604355037212372,0.08408542722463608,0.021115407347679138,-0.04743249714374542,-0.10331123322248459,0.1173725351691246,0.06942034512758255,-0.16778415441513062,0.023660704493522644,0.07861878722906113,-0.18891485035419464,0.15503856539726257,0.0002994879614561796,0.025321029126644135,-0.027233820408582687,-0.054455436766147614,-0.14765222370624542,-0.02222581021487713,0.20993737876415253,-0.27222689986228943,0.18681463599205017,0.1172429621219635,-0.009515408426523209,0.06996779143810272,0.058181725442409515,0.061664775013923645,-0.021496351808309555,-0.005860043689608574,-0.08610329777002335,-0.021324776113033295,0.06939490884542465,0.019927186891436577,0.05819696933031082,0.11090176552534103",Non-Criminal
IMG-20241225-WA0028,"-0.11715701222419739,0.11190672963857651,0.0817972719669342,-0.09413649886846542,-0.1082259938120842,0.009087254293262959,-0.11097300052642822,-0.01651671715080738,0.06358706206083298,-0.009251524694263935,0.25116366147994995,-0.015280831605196,-0.22450853884220123,0.0074914125725626945,-0.06677844375371933,0.1381269097328186,-0.1850985288619995,-0.09389479458332062,-0.09559213370084763,-0.05835157632827759,0.04509657248854637,0.07607600837945938,-0.036259036511182785,0.06955131143331528,-0.1028401255607605,-0.2491634637117386,-0.058839209377765656,-0.13239224255084991,0.07362569868564606,-0.0922960415482521,-0.09426315873861313,-0.06722432374954224,-0.16238346695899963,-0.07612445950508118,0.03226292505860329,-0.0069201067090034485,0.03220119699835777,-0.0512070395052433,0.1578303426504135,-0.014074881561100483,-0.07783862203359604,0.17432555556297302,0.10382376611232758,0.27081578969955444,0.21658311784267426,0.11583611369132996,0.024042736738920212,-0.007276213727891445,0.0698971077799797,-0.28975746035575867,0.09841563552618027,0.10412365198135376,0.1258971244096756,0.04911414161324501,0.05997871235013008,-0.2531898021697998,-0.050482504069805145,0.15076075494289398,-0.1638597846031189,0.17465580999851227,0.01923062652349472,0.03792531043291092,0.022884657606482506,-0.06658806651830673,0.22070114314556122,0.13553684949874878,-0.1222599446773529,-0.13935288786888123,0.12844514846801758,-0.14394539594650269,-0.0482378751039505,-0.017374854534864426,-0.14989928901195526,-0.09674037992954254,-0.229585662484169,0.06670646369457245,0.34598955512046814,0.1723172962665558,-0.2251841425895691,0.03607512265443802,-0.04908986762166023,-0.004689565859735012,-0.00013581453822553158,-0.043309472501277924,-0.10191170871257782,-0.05696544796228409,-0.09404861181974411,0.01998542994260788,0.19788354635238647,0.038650982081890106,0.04132433235645294,0.27291199564933777,0.03132272884249687,-0.0017457492649555206,0.04635132849216461,0.032439328730106354,-0.11401352286338806,-0.07723841816186905,-0.11289940774440765,0.018363287672400475,-0.058412112295627594,-0.09244102984666824,0.033892594277858734,0.1518881618976593,-0.17652584612369537,0.08344048261642456,-0.07225213944911957,0.010436356998980045,-0.08510543406009674,0.144584521651268,-0.06120029464364052,-0.021644065156579018,0.17378640174865723,-0.16220661997795105,0.20556658506393433,0.20359787344932556,0.08615443110466003,0.07299020886421204,0.07997581362724304,0.02675628289580345,0.023033730685710907,0.07749700546264648,-0.15266118943691254,-0.09923283755779266,0.004547324497252703,-0.10392850637435913,0.08264195919036865,0.1389177143573761",Non-Criminal
IMG-20241225-WA0029,"-0.06589649617671967,0.04203743487596512,-0.01754079759120941,-0.08736438304185867,-0.11480913311243057,-0.043751683086156845,-0.04663468524813652,-0.032896995544433594,0.0846971869468689,-0.05823903530836105,0.22587907314300537,0.037871044129133224,-0.25845351815223694,-0.12179452925920486,-0.018190830945968628,0.1271163374185562,-0.07014089077711105,-0.09376164525747299,-0.0822741836309433,-0.058872297406196594,0.034376900643110275,-0.027315685525536537,0.025556407868862152,0.06583445519208908,-0.06812819093465805,-0.2366081178188324,-0.07376682758331299,-0.03979325294494629,-0.026987606659531593,-0.13864564895629883,-0.04383530467748642,0.10681403428316116,-0.13762079179286957,-0.0733347088098526,0.013135676272213459,0.08526569604873657,-0.10059678554534912,-0.10280166566371918,0.17571380734443665,-0.006004038732498884,-0.09102551639080048,-0.03166097775101662,-0.03907157480716705,0.2558574974536896,0.1653849184513092,-0.0005488547612912953,0.059372611343860626,-0.03141529858112335,0.12353071570396423,-0.24959103763103485,0.029897518455982208,0.14755262434482574,0.047157641500234604,0.09825417399406433,-0.06730954349040985,-0.1499912589788437,0.027706123888492584,0.2108282446861267,-0.18340733647346497,-0.00683216005563736,-0.06215076893568039,-0.14912845194339752,-0.11227503418922424,-0.1197374165058136,0.2264360636472702,0.1710178703069687,-0.14199605584144592,-0.17896482348442078,0.20986896753311157,-0.08533720672130585,-0.09630147367715836,0.003611232154071331,-0.184116929769516,-0.15985585749149323,-0.20490653812885284,0.10435595363378525,0.2753369212150574,0.11252524703741074,-0.14394335448741913,0.022535845637321472,-0.11239060014486313,-0.012464674189686775,-0.06897194683551788,0.04092329367995262,-0.04241766780614853,-0.03730839490890503,-0.07973375171422958,0.013795986771583557,0.17464779317378998,-0.07975945621728897,-0.05129270628094673,0.1739499419927597,0.03777976706624031,0.06684713065624237,0.0539356991648674,0.035054657608270645,-0.04560665413737297,0.05536913499236107,-0.12914732098579407,0.03882270306348801,0.054536253213882446,-0.17446261644363403,-0.006708752363920212,0.10643081367015839,-0.1072322204709053,0.19400717318058014,0.012321554124355316,0.04222403094172478,-0.0023997058160603046,-0.04172549024224281,-0.1143450066447258,-0.06588519364595413,0.11946234107017517,-0.2154855877161026,0.2779197692871094,0.20587153732776642,0.17082004249095917,0.15670479834079742,0.09467390924692154,0.08392447233200073,0.0379667654633522,-0.04923495650291443,-0.18145905435085297,-0.0652085691690445,0.1128375455737114,0.04372821003198624,-0.023823875933885574,0.05914046987891197",Non-Criminal
